ticker,created,id,sent_score,sentiment
BLK,Thu Mar 31 14:57:05 +0000 2022,1.51E+18,1,positive
BLK,Thu Mar 31 14:53:01 +0000 2022,1.51E+18,0,neutral
BLK,Wed Mar 30 21:18:59 +0000 2022,1.51E+18,0,neutral
BLK,Wed Mar 30 15:05:49 +0000 2022,1.51E+18,0.125,positive
BK,Thu Mar 31 20:12:09 +0000 2022,1.51E+18,1,positive
BK,Thu Mar 31 18:49:24 +0000 2022,1.51E+18,0.55,positive
BK,Thu Mar 31 14:51:06 +0000 2022,1.51E+18,1,positive
BK,Wed Mar 30 22:54:06 +0000 2022,1.51E+18,1,positive
BK,Wed Mar 30 20:52:09 +0000 2022,1.51E+18,0,neutral
BK,Wed Mar 30 17:36:08 +0000 2022,1.51E+18,1,positive
BK,Wed Mar 30 12:32:41 +0000 2022,1.51E+18,0,neutral
BK,Wed Mar 30 07:01:02 +0000 2022,1.51E+18,-0.02989899,negative
BA,Thu Mar 31 21:14:42 +0000 2022,1.51E+18,0.266666667,positive
BA,Thu Mar 31 20:20:55 +0000 2022,1.51E+18,0,neutral
BA,Thu Mar 31 20:03:06 +0000 2022,1.51E+18,1,positive
BA,Thu Mar 31 17:16:16 +0000 2022,1.51E+18,0,neutral
BA,Thu Mar 31 15:15:54 +0000 2022,1.51E+18,0,neutral
BA,Thu Mar 31 13:10:17 +0000 2022,1.51E+18,0,neutral
BA,Thu Mar 31 09:11:05 +0000 2022,1.51E+18,0,neutral
BA,Wed Mar 30 17:34:19 +0000 2022,1.51E+18,0,neutral
BA,Wed Mar 30 17:34:18 +0000 2022,1.51E+18,0,neutral
BA,Wed Mar 30 14:30:11 +0000 2022,1.51E+18,0,neutral
BKNG,Thu Mar 31 14:54:08 +0000 2022,1.51E+18,1,positive
BKNG,Wed Mar 30 22:57:06 +0000 2022,1.51E+18,1,positive
BKNG,Wed Mar 30 17:39:06 +0000 2022,1.51E+18,1,positive
BSX,Wed Mar 30 22:30:02 +0000 2022,1.51E+18,0.275,positive
BMY,Thu Mar 31 20:21:06 +0000 2022,1.51E+18,1,positive
BMY,Thu Mar 31 20:00:37 +0000 2022,1.51E+18,0,neutral
BMY,Thu Mar 31 17:00:36 +0000 2022,1.51E+18,0,neutral
BMY,Thu Mar 31 13:56:39 +0000 2022,1.51E+18,0.275,positive
BMY,Wed Mar 30 23:06:07 +0000 2022,1.51E+18,1,positive
BMY,Wed Mar 30 21:16:04 +0000 2022,1.51E+18,0,neutral
BMY,Wed Mar 30 19:31:29 +0000 2022,1.51E+18,0,neutral
BMY,Wed Mar 30 19:31:16 +0000 2022,1.51E+18,0,neutral
BMY,Wed Mar 30 19:31:05 +0000 2022,1.51E+18,0,neutral
BMY,Wed Mar 30 16:43:29 +0000 2022,1.51E+18,0,neutral
AVGO,Wed Mar 30 22:39:05 +0000 2022,1.51E+18,1,positive
AVGO,Wed Mar 30 20:35:18 +0000 2022,1.51E+18,0.075,positive
AVGO,Wed Mar 30 20:35:01 +0000 2022,1.51E+18,0,neutral
AVGO,Wed Mar 30 20:34:34 +0000 2022,1.51E+18,0,neutral
BR,Wed Mar 30 23:02:14 +0000 2022,1.51E+18,0.16,positive
BR,Wed Mar 30 10:49:46 +0000 2022,1.51E+18,0,neutral
BRO,Thu Mar 31 20:48:08 +0000 2022,1.51E+18,0,neutral
CHRW,Thu Mar 31 00:22:22 +0000 2022,1.51E+18,0.16,positive
CHRW,Wed Mar 30 01:41:08 +0000 2022,1.51E+18,0.16,positive
CDNS,Thu Mar 31 21:57:22 +0000 2022,1.51E+18,0.16,positive
CDNS,Wed Mar 30 14:46:23 +0000 2022,1.51E+18,0,neutral
CPT,Tue Mar 29 22:56:58 +0000 2022,1.51E+18,0,neutral
CPB,Thu Mar 31 11:00:38 +0000 2022,1.51E+18,-0.140740741,negative
COF,Thu Mar 31 20:42:07 +0000 2022,1.51E+18,1,positive
COF,Thu Mar 31 18:49:24 +0000 2022,1.51E+18,0.55,positive
COF,Wed Mar 30 23:27:05 +0000 2022,1.51E+18,1,positive
COF,Wed Mar 30 18:09:06 +0000 2022,1.51E+18,1,positive
KMX,Wed Mar 30 00:28:20 +0000 2022,1.51E+18,0.16,positive
CCL,Thu Mar 31 16:44:59 +0000 2022,1.51E+18,0.275,positive
CCL,Thu Mar 31 15:00:05 +0000 2022,1.51E+18,-0.1,negative
CCL,Wed Mar 30 04:11:56 +0000 2022,1.51E+18,0,neutral
CARR,Wed Mar 30 19:48:30 +0000 2022,1.51E+18,0,neutral
CAT,Wed Mar 30 23:15:19 +0000 2022,1.51E+18,1,positive
CDW,Thu Mar 31 22:54:14 +0000 2022,1.51E+18,0,neutral
CNC,Thu Mar 31 10:14:41 +0000 2022,1.51E+18,0.5,positive
CNP,Thu Mar 31 21:26:12 +0000 2022,1.51E+18,0,neutral
CNP,Thu Mar 31 01:49:46 +0000 2022,1.51E+18,0.106666667,positive
CF,Wed Mar 30 14:16:21 +0000 2022,1.51E+18,0,neutral
CF,Tue Mar 29 22:18:07 +0000 2022,1.51E+18,0.16,positive
CRL,Thu Mar 31 04:01:09 +0000 2022,1.51E+18,-0.084444444,negative
CRL,Wed Mar 30 20:55:06 +0000 2022,1.51E+18,0,neutral
CRL,Wed Mar 30 14:08:20 +0000 2022,1.51E+18,0,neutral
SCHW,Thu Mar 31 14:31:51 +0000 2022,1.51E+18,0,neutral
SCHW,Thu Mar 31 13:39:49 +0000 2022,1.51E+18,0.275,positive
SCHW,Thu Mar 31 13:30:47 +0000 2022,1.51E+18,0,neutral
CHTR,Thu Mar 31 20:33:05 +0000 2022,1.51E+18,1,positive
CHTR,Thu Mar 31 15:15:20 +0000 2022,1.51E+18,1,positive
CDAY,Thu Mar 31 12:05:30 +0000 2022,1.51E+18,0,neutral
CF,Wed Mar 30 14:16:21 +0000 2022,1.51E+18,0,neutral
CF,Tue Mar 29 22:18:07 +0000 2022,1.51E+18,0.16,positive
CRL,Thu Mar 31 04:01:09 +0000 2022,1.51E+18,-0.084444444,negative
CRL,Wed Mar 30 20:55:06 +0000 2022,1.51E+18,0,neutral
CRL,Wed Mar 30 14:08:20 +0000 2022,1.51E+18,0,neutral
SCHW,Thu Mar 31 14:31:51 +0000 2022,1.51E+18,0,neutral
SCHW,Thu Mar 31 13:39:49 +0000 2022,1.51E+18,0.275,positive
SCHW,Thu Mar 31 13:30:47 +0000 2022,1.51E+18,0,neutral
CHTR,Thu Mar 31 20:33:05 +0000 2022,1.51E+18,1,positive
CHTR,Thu Mar 31 15:15:20 +0000 2022,1.51E+18,1,positive
CVX,Thu Mar 31 23:00:02 +0000 2022,1.51E+18,0,neutral
CVX,Thu Mar 31 21:03:05 +0000 2022,1.51E+18,1,positive
CVX,Thu Mar 31 17:16:16 +0000 2022,1.51E+18,0,neutral
CVX,Thu Mar 31 13:06:13 +0000 2022,1.51E+18,0,neutral
CVX,Thu Mar 31 08:38:11 +0000 2022,1.51E+18,0,neutral
CVX,Wed Mar 30 13:31:29 +0000 2022,1.51E+18,0.275,positive
CMG,Thu Mar 31 12:10:35 +0000 2022,1.51E+18,0.106666667,positive
CB,Wed Mar 30 14:13:31 +0000 2022,1.51E+18,0.16,positive
CB,Wed Mar 30 12:30:00 +0000 2022,1.51E+18,0.175324675,positive
CHD,Wed Mar 30 21:13:31 +0000 2022,1.51E+18,0,neutral
CHD,Wed Mar 30 03:40:21 +0000 2022,1.51E+18,0,neutral
CHD,Tue Mar 29 22:11:17 +0000 2022,1.51E+18,0,neutral
CI,Thu Mar 31 23:33:24 +0000 2022,1.51E+18,0,neutral
CTAS,Wed Mar 30 13:52:57 +0000 2022,1.51E+18,0.106666667,positive
CSCO,Wed Mar 30 14:57:13 +0000 2022,1.51E+18,0,neutral
C,Thu Mar 31 20:27:06 +0000 2022,1.51E+18,1,positive
C,Thu Mar 31 19:46:51 +0000 2022,1.51E+18,0.016071429,positive
C,Thu Mar 31 18:49:24 +0000 2022,1.51E+18,0.55,positive
C,Thu Mar 31 17:16:16 +0000 2022,1.51E+18,0,neutral
C,Thu Mar 31 17:16:16 +0000 2022,1.51E+18,0,neutral
C,Thu Mar 31 17:16:16 +0000 2022,1.51E+18,0,neutral
C,Thu Mar 31 17:16:16 +0000 2022,1.51E+18,0,neutral
C,Thu Mar 31 17:16:16 +0000 2022,1.51E+18,0,neutral
C,Wed Mar 30 23:12:07 +0000 2022,1.51E+18,1,positive
C,Wed Mar 30 20:06:24 +0000 2022,1.51E+18,0,neutral
CTXS,Wed Mar 30 06:00:42 +0000 2022,1.51E+18,-0.140740741,negative
CLX,Wed Mar 30 19:59:45 +0000 2022,1.51E+18,0,neutral
CLX,Wed Mar 30 04:25:11 +0000 2022,1.51E+18,0,neutral
CME,Thu Mar 31 19:02:31 +0000 2022,1.51E+18,0.275,positive
CME,Thu Mar 31 11:46:33 +0000 2022,1.51E+18,0.106666667,positive
CME,Wed Mar 30 15:02:28 +0000 2022,1.51E+18,-0.05,negative
CME,Wed Mar 30 10:59:24 +0000 2022,1.51E+18,0,neutral
CMS,Wed Mar 30 10:01:16 +0000 2022,1.51E+18,0.033333333,positive
KO,Thu Mar 31 17:16:16 +0000 2022,1.51E+18,0,neutral
KO,Wed Mar 30 19:57:12 +0000 2022,1.51E+18,0,neutral
KO,Wed Mar 30 17:30:19 +0000 2022,1.51E+18,0,neutral
KO,Wed Mar 30 17:15:05 +0000 2022,1.51E+18,1,positive
KO,Wed Mar 30 16:47:04 +0000 2022,1.51E+18,0.275,positive
KO,Wed Mar 30 14:46:05 +0000 2022,1.51E+18,0,neutral
KO,Wed Mar 30 14:46:05 +0000 2022,1.51E+18,0,neutral
KO,Wed Mar 30 14:27:06 +0000 2022,1.51E+18,1,positive
CL,Thu Mar 31 22:45:04 +0000 2022,1.51E+18,1,positive
CL,Thu Mar 31 15:34:27 +0000 2022,1.51E+18,0,neutral
CL,Thu Mar 31 15:18:08 +0000 2022,1.51E+18,1,positive
CL,Thu Mar 31 11:52:10 +0000 2022,1.51E+18,0.2,positive
CL,Thu Mar 31 06:30:44 +0000 2022,1.51E+18,0.1,positive
CL,Wed Mar 30 20:07:23 +0000 2022,1.51E+18,0,neutral
CL,Wed Mar 30 14:30:06 +0000 2022,1.51E+18,1,positive
CL,Wed Mar 30 12:23:25 +0000 2022,1.51E+18,0.35,positive
CL,Wed Mar 30 03:19:57 +0000 2022,1.51E+18,0,neutral
CMCSA,Thu Mar 31 20:39:06 +0000 2022,1.51E+18,1,positive
CMCSA,Thu Mar 31 17:16:16 +0000 2022,1.51E+18,0,neutral
CMCSA,Thu Mar 31 15:21:07 +0000 2022,1.51E+18,1,positive
CMCSA,Thu Mar 31 14:06:29 +0000 2022,1.51E+18,0.097727273,positive
CMCSA,Thu Mar 31 01:19:34 +0000 2022,1.51E+18,0.3,positive
CMCSA,Thu Mar 31 00:00:01 +0000 2022,1.51E+18,0.3,positive
CMCSA,Wed Mar 30 22:31:39 +0000 2022,1.51E+18,0,neutral
CMCSA,Wed Mar 30 13:31:43 +0000 2022,1.51E+18,0.275,positive
COP,Thu Mar 31 23:00:02 +0000 2022,1.51E+18,0,neutral
